Progress,Duration (in seconds),Finished,UserLanguage,HPVVaccine_CR,PID,consent_agree,timer_control_First Click,timer_control_Last Click,timer_control_Page Submit,timer_control_Click Count,timer_selforothers_First Click,timer_selforothers_Last Click,timer_selforothers_Page Submit,timer_selforothers_Click Count,timer_both_First Click,timer_both_Last Click,timer_both_Page Submit,timer_both_Click Count,intention_likelihood_1,infotrust_1,vaxtrust_safe_1,vaxtrust_effective_1,vaccine_benefit _1,vaccine_risk_1,vaccine_worried_1,HPV_sideeffect_1,HPV_healththreat_1,HPV_infectionthreat_1,subnorm_people_1,subnorm_expectation_1,subnorm_want_1,becontrol_uptome_1,becontrol_control_1,becontrol_confidence_1,attention_check_1,comprehension_1,decision_rationale,general_attitudes_1,general_attitudes_2,general_attitudes_3,general_attitudes_4,general_attitudes_5,general_attitudes_6,general_attitudes_7,general_attitudes_8,AC_Qs_1,AC_Qs_2,AC_Qs_3,AC_Qs_4,AC_Qs_5,AC_Qs_6,AC_Qs_7,AC_Qs_8,AC_Qs_9,AC_Qs_10,AC_Qs_11,AC_Qs_12,AC_Qs_13,AC_Qs_14,AC_Qs_15,AC_Qs_16,AC_Qs_17,AC_Qs_18,AC_Qs_19,AC_Qs_20,AC_Qs_21,AC_Qs_22,AC_Qs_23,AC_Qs_24,sex_history,sex_active,sex_partnernum,relationship_status,rela_exclusive,age,ethnicity,education,occupation,income,suggestions,study_content,honest_check,Clicked1,Condition,CTA,Time_Amount
100,361,1,EN,,641361334c91a0c6ff4c5b79,1,,,,,31.533,31.533,46.222,1,,,,,2,5,5,5,99,2,1,1,1,1,1,1,1,7,6,6,5,6,Because I am lazy and don't feel like getting it,1,6,1,6,1,1,6,6,7,6,7,7,6,7,7,7,8,8,7,8,8,7,8,7,8,8,8,8,8,9,8,8,1,1,4,2,1,26,1,4,1,3,No,HPV vacine,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,332,1,EN,,633c74ad6178784ed5b52104,1,,,,,18.429,78.437,79.026,7,,,,,0,6,6,6,100,0,1,2,1,5,1,1,4,1,7,1,5,7,I don't plan on having sex in the next 3 months.,1,6,1,6,2,1,6,6,10,10,7,5,8,10,10,10,10,10,8,8,6,10,10,8,10,7,10,10,10,1,7,1,3,3,,1,,25,3,3,1,3,,,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,294,1,EN,,60cfe495190da9fb2a1b9e52,1,,,,,0,0,54.577,0,,,,,25,4,3,4,69,40,3,3,3,4,4,4,3,5,5,5,5,5,"After reading this article, I am starting to see a little more importance on the topic. My family is usually against vaccines in general so that is why I picked a relatively low chance regardless of thinking it is important to get.",4,3,4,4,4,2,4,4,8,9,6,5,9,8,9,8,8,8,9,8,6,9,7,9,8,8,7,7,7,6,6,6,1,1,1,2,1,23,1,4,1,3,,Peoples opinions on the HPV vaccine and on vaccines in general,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,302,1,EN,,631ab79e8635a1df26319958,1,,,,,,,,,64.125,64.125,65.971,1,85,5,5,6,73,6,1,1,1,1,6,6,6,4,5,2,5,7,"It lowers your chance for cancer. A lot of the cancers it lowers too, have pretty high deduction rates too from the HPV vaccine. I see no reason not to do it.",1,5,1,4,2,1,4,5,5,7,7,8,9,7,6,7,8,8,8,8,6,9,4,10,7,6,9,8,10,4,5,5,1,1,1,1,,18,1,2,4,3,,HPV vaccine,1,0,Both,Protect yourself and your partner. Get vaccinated against HPV today.,60
100,415,1,EN,,63d7f1440b5b6112619719d8,1,131.877,131.877,146.06,1,,,,,,,,,20,6,4,3,35,60,2,5,1,4,6,3,6,7,7,3,5,7,"While I agree that HPV is dangerous, I do not think I would benefit from the vaccine since I am not sexually active. There is a 0% chance I will get HPV within the next 3 months.",5,2,5,3,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,,24,1,2,4,2,,To see if I believe in vaccines after being given statistics. ,1,0,Control,Get vaccinated against HPV today.,30
100,275,1,EN,,57a9f41a16a091000112f1cf,1,,,,,27.927,45.251,46.624,3,,,,,22,5,6,5,96,47,2,1,1,2,4,4,4,4,6,4,5,5,becuase i am lazy and dont think I need it/ don't seem as much at risk to it,1,6,1,6,3,1,6,6,8,10,7,8,9,7,8,10,7,7,9,9,8,7,9,8,7,7,8,9,8,8,7,7,1,2,1,1,,23,1,4,1,4,,,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,590,1,EN,,641359b5040c453203e2c088,1,,,,,0,0,85.701,0,,,,,50,5,5,5,85,5,2,2,1,2,6,6,6,6,6,2,5,6,"I am skeptical whether or not the vaccine could cause harm to me. Overall, I do trust the vaccine and would be willing to get it if proven otherwise. I believe that HPV may not be as harmful as it is perceived and the ratio of cancerous situations developing to the total number of people that have it is not close.",2,6,2,5,3,2,4,5,4,7,8,6,10,10,10,8,8,8,9,10,2,8,6,10,10,1,9,10,10,4,8,2,2,2,,1,,21,2,2,4,2,,Raising vaccine awareness regarding the HPV vaccine and gathering how likely people are to take it with consideration of their beliefs,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,390,1,EN,,63ee429d00687e1bf7c5089a,1,,,,,,,,,0,0,79.152,0,26,6,5,5,64,10,1,2,1,3,2,3,2,5,5,3,5,6,"A few factors. For one, I am not sexually active, and that will very likely not change in the near future. Another reason is that unfortunately my family is vaccine-hesitant, and if they were to find out I were vaccinated for HPV they may think negatively of me. ",1,5,1,5,3,1,5,6,8,10,9,7,8,5,7,9,8,8,7,8,6,9,9,8,9,5,8,7,7,7,2,6,2,2,,1,,18,1,1,4,4,,I believe this study is about the public opinion on the HPV vaccine. ,1,0,Both,Protect yourself and your partner. Get vaccinated against HPV today.,60
100,971,1,EN,,63e51e55974365f1e43df265,1,,,,,0.906,47.746,50.801,13,,,,,20,3,4,3,60,10,2,5,5,4,5,4,5,6,6,2,5,7,"I don’t think that I would get HPV vaccine in the next 3 months because I don’t expect to get HPV and I will be careful, but it is a possibility in the future.",4,5,2,5,5,1,5,3,9,8,7,9,10,7,8,9,10,9,9,10,6,7,7,8,9,8,9,8,10,2,10,8,1,1,1,1,,19,5,2,6,3,interesting study!,I think the study was about HPV vaccine and different demographics thoughts on the vaccine,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,239,1,EN,,633b82ab54af035c569082fb,1,1,32.948,33.581,8,,,,,,,,,0,3,5,5,43,22,1,1,1,2,4,4,4,1,7,1,5,7,I don't see a need for it. Why would I randomly get a shot in my arm. I'm fine here chilling.,5,5,1,5,3,2,4,4,1,2,10,4,5,6,9,7,9,1,7,8,4,2,1,1,8,2,8,1,10,10,9,4,1,1,1,1,,22,3,4,2,3,,,1,0,Control,Get vaccinated against HPV today.,30
100,350,1,EN,,5f0907cacd2a9f194b21eda8,1,,,,,16.5,52.532,53.322,6,,,,,50,5,5,5,89,37,2,3,3,4,6,6,6,6,5,4,5,6,I already have taken the three doses when I was younger. If I needed to get another one I would,2,5,2,5,4,2,4,5,7,8,6,2,10,5,4,7,5,6,9,8,5,5,7,9,7,5,7,10,5,7,4,2,1,1,1,1,,22,1,4,1,3,,Vaccines,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,340,1,EN,,5fd18d125e1f92195b1717bc,1,2.918,31.486,31.802,4,,,,,,,,,0,2,3,3,30,50,4,4,3,3,7,5,7,7,7,2,5,7,"The reason I'm not getting it is because I don't see any need to. I didn't get it while in college, nor did I get it for these few years after college and nothing has happened to me. I don't think it's important enough to get a vaccine where I don't know the potential side effects.",6,3,3,3,6,4,3,4,8,8,8,8,10,9,8,9,8,9,10,8,9,10,9,10,8,8,8,10,9,6,8,8,1,2,4,1,,26,2,4,1,4,,HPV Vaccine hesitancy,1,0,Control,Get vaccinated against HPV today.,30
100,524,1,EN,,6294ea804cdf1298eefa87ac,1,,,,,,,,,9.606,57.456,60.857,11,0,1,1,1,0,41,1,3,2,1,2,4,2,1,7,4,5,7,I am monogamous. That’s pretty simple. I don’t need it.  ,6,4,4,3,4,3,3,3,4,2,5,5,5,7,8,5,4,4,9,2,1,4,4,10,2,2,4,8,8,4,7,2,1,1,1,6,1,24,7,4,1,4,No,The hpv vaccine ,1,0,Both,Protect yourself and your partner. Get vaccinated against HPV today.,60
100,786,1,EN,,63ed0065eb23ac3ee1726453,1,,,,,3.198,18.78,70.029,6,,,,,0,1,1,1,0,100,5,5,4,3,1,1,1,7,7,7,5,7,I dont think its worth getting. For one very few people even had the disease recently. For two the vaccine seems unhealthy and risky.,6,1,6,1,6,6,1,1,10,10,10,10,10,10,1,6,1,6,7,1,1,10,10,10,10,6,6,6,6,10,6,6,1,1,1,6,1,24,1,5,1,2,,,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,1257,1,EN,,640b816df86dcee615619d0d,1,301.401,333.738,334.419,5,,,,,,,,,86,4,5,5,90,22,3,3,2,5,7,6,7,7,1,7,5,7,Because it seems to come with many benefits that could lead to a healthy and better life although I would like to research more into it before proceeding fully,1,6,3,4,3,2,5,4,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,1,1,1,6,1,20,7,2,4,2,,HPV Vaccines ,1,0,Control,Get vaccinated against HPV today.,30
100,1921,1,EN,,603d6ae665fbaacb5621ede2,1,,,,,,,,,5.857,11.195,220.019,2,90,2,4,5,60,20,2,3,2,2,2,4,3,2,2,3,5,5,It is a 90% chance that I will get the HPV vaccine in the next 3 months because it is being talked about a lot. I want to protect myself and my family which is the number one priority. There is a lot of skepticism and benefits that range from getting it. ,2,2,2,2,1,1,3,4,8,7,9,8,7,8,9,7,8,6,5,6,10,9,7,7,9,8,7,9,8,10,8,9,1,2,1,1,,26,2,4,1,4,,This study was about the HPV Vaccine and my percentage of wanting to get the vaccine and my reasoning on why,1,0,Both,Protect yourself and your partner. Get vaccinated against HPV today.,60
100,510,1,EN,,63d42387aba51e699ab9ce5c,1,,,,,,,,,142.479,142.479,143.456,1,82,3,4,5,82,48,2,3,2,5,3,6,5,7,7,3,5,6,I made this choice because I think that the benefits from taking the vaccine are far more greater than the risks.,4,5,3,5,5,2,5,4,9,8,4,8,9,10,9,10,6,9,10,9,7,10,9,8,5,8,8,10,6,8,10,7,1,1,1,2,1,22,1,4,1,3,none,I am not sure,1,0,Both,Protect yourself and your partner. Get vaccinated against HPV today.,60
100,877,1,EN,,5d1e2045a37a4d001a1fc2cb,1,,,,,73.968,79.582,83.888,2,,,,,15,6,6,6,100,10,1,1,2,1,7,7,7,7,1,7,5,7,"I believe that there's a small chance I may get the vaccine within the next 3 months, as anything is possible to happen, I would want to stay safe with my life. I believe that making this decision, would have positive benefits for me in the long run.",3,5,1,5,2,1,6,6,8,8,7,6,6,9,8,8,7,8,6,10,7,10,10,9,9,7,6,7,9,5,5,6,2,2,,1,,23,2,3,4,2,,I think the study had more than one intention,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,250,1,EN,,63d7c1c77724f08194bcf7d9,1,0,0,31.717,0,,,,,,,,,2,4,5,5,81,8,1,2,4,4,6,4,6,3,5,2,5,6,"I practice safe sex and with the same partner, and therefore I feel that my chances of getting HPV are quite low. ",1,6,1,6,2,1,6,6,8,9,7,6,9,9,9,9,7,7,9,8,4,8,7,9,9,6,8,8,9,6,5,4,1,1,1,2,1,24,1,5,6,2,,People's perceptions of HPV and vaccines.,1,0,Control,Get vaccinated against HPV today.,30
100,452,1,EN,,63f7ac13d942e94c18c92d4b,1,,,,,69.132,73.317,81.983,3,,,,,31,5,5,5,77,15,2,1,1,3,4,4,4,4,4,3,5,6,"I wouldn't be opposed to getting the vaccine, but I believe that I am also not likely to be in a situation where HPV transmission is likely for me, so the vaccine is not an urgent issue within the next 3 months.",2,5,1,5,4,1,5,6,9,7,6,7,8,10,7,5,4,6,7,7,5,7,5,6,5,5,6,8,6,1,7,4,2,2,,1,,23,5,4,4,4,,Understanding attitude towards HPV vaccine and correlations with values,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,683,1,EN,,5fadeb340e10471fdeb5fbf5,1,,,,,12.907,51.156,52.034,7,,,,,4,3,1,2,5,85,4,4,4,4,2,2,3,6,6,6,5,6,I don’t have any interest in getting a vaccine anytime soon. I refuse to comply and be forced to do something I don’t want to do.,6,3,5,2,5,5,3,4,8,8,5,5,6,9,8,8,6,9,10,7,4,6,6,7,6,8,8,7,5,4,9,6,3,3,,1,,24,3,2,2,3,cheers,cheers,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,277,1,EN,,63d1b0363f9bd5a6062dfb1c,1,,,,,0,0,47.993,0,,,,,51,4,4,4,76,80,4,4,4,5,6,6,6,2,2,7,5,7,depends on the price,5,5,1,5,1,1,5,5,8,7,8,8,7,7,7,8,8,8,8,8,7,8,8,7,8,8,7,9,7,7,8,7,1,1,2,6,1,21,2,4,1,3,,HPV Vaccine Study,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,338,1,EN,,5a95a63e4eecca0001dd4cfa,1,,,,,2.63,5.082,93.656,2,,,,,18,5,5,5,74,20,2,2,1,2,5,5,6,1,1,6,5,6,I am single and have no interest in a sexual relationship so I have no need for this vaccine,1,5,1,6,1,1,5,5,1,8,8,1,8,1,10,9,1,7,7,6,1,8,8,9,9,6,6,8,4,2,9,2,2,2,,1,,26,2,2,1,4,none,not sure,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
