intention_likelihood_1,AC_Qs_1,AC_Qs_2,AC_Qs_3,AC_Qs_4,AC_Qs_5,AC_Qs_6,AC_Qs_7,AC_Qs_8,AC_Qs_9,AC_Qs_10,AC_Qs_11,AC_Qs_12,AC_Qs_13,AC_Qs_14,AC_Qs_15,AC_Qs_16,AC_Qs_17,AC_Qs_18,AC_Qs_19,AC_Qs_20,AC_Qs_21,AC_Qs_22,AC_Qs_23,AC_Qs_24,sex_history,sex_active,sex_partnernum,relationship_status,rela_exclusive,age,study_content,Condition,CTA
2,7,6,7,7,6,7,7,7,8,8,7,8,8,7,8,7,8,8,8,8,8,9,8,8,1,1,4,2,1,26,HPV vacine,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
0,10,10,7,5,8,10,10,10,10,10,8,8,6,10,10,8,10,7,10,10,10,1,7,1,3,3,,1,,25,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
25,8,9,6,5,9,8,9,8,8,8,9,8,6,9,7,9,8,8,7,7,7,6,6,6,1,1,1,2,1,23,Peoples opinions on the HPV vaccine and on vaccines in general,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
85,5,7,7,8,9,7,6,7,8,8,8,8,6,9,4,10,7,6,9,8,10,4,5,5,1,1,1,1,,18,HPV vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,,24,To see if I believe in vaccines after being given statistics. ,Control,Get vaccinated against HPV today.
22,8,10,7,8,9,7,8,10,7,7,9,9,8,7,9,8,7,7,8,9,8,8,7,7,1,2,1,1,,23,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
50,4,7,8,6,10,10,10,8,8,8,9,10,2,8,6,10,10,1,9,10,10,4,8,2,2,2,,1,,21,Raising vaccine awareness regarding the HPV vaccine and gathering how likely people are to take it with consideration of their beliefs,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
26,8,10,9,7,8,5,7,9,8,8,7,8,6,9,9,8,9,5,8,7,7,7,2,6,2,2,,1,,18,I believe this study is about the public opinion on the HPV vaccine. ,Both,Protect yourself and your partner. Get vaccinated against HPV today.
20,9,8,7,9,10,7,8,9,10,9,9,10,6,7,7,8,9,8,9,8,10,2,10,8,1,1,1,1,,19,I think the study was about HPV vaccine and different demographics thoughts on the vaccine,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
0,1,2,10,4,5,6,9,7,9,1,7,8,4,2,1,1,8,2,8,1,10,10,9,4,1,1,1,1,,22,,Control,Get vaccinated against HPV today.
50,7,8,6,2,10,5,4,7,5,6,9,8,5,5,7,9,7,5,7,10,5,7,4,2,1,1,1,1,,22,Vaccines,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
0,8,8,8,8,10,9,8,9,8,9,10,8,9,10,9,10,8,8,8,10,9,6,8,8,1,2,4,1,,26,HPV Vaccine hesitancy,Control,Get vaccinated against HPV today.
0,4,2,5,5,5,7,8,5,4,4,9,2,1,4,4,10,2,2,4,8,8,4,7,2,1,1,1,6,1,24,The hpv vaccine ,Both,Protect yourself and your partner. Get vaccinated against HPV today.
0,10,10,10,10,10,10,1,6,1,6,7,1,1,10,10,10,10,6,6,6,6,10,6,6,1,1,1,6,1,24,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
86,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,1,1,1,6,1,20,HPV Vaccines ,Control,Get vaccinated against HPV today.
90,8,7,9,8,7,8,9,7,8,6,5,6,10,9,7,7,9,8,7,9,8,10,8,9,1,2,1,1,,26,This study was about the HPV Vaccine and my percentage of wanting to get the vaccine and my reasoning on why,Both,Protect yourself and your partner. Get vaccinated against HPV today.
82,9,8,4,8,9,10,9,10,6,9,10,9,7,10,9,8,5,8,8,10,6,8,10,7,1,1,1,2,1,22,I am not sure,Both,Protect yourself and your partner. Get vaccinated against HPV today.
15,8,8,7,6,6,9,8,8,7,8,6,10,7,10,10,9,9,7,6,7,9,5,5,6,2,2,,1,,23,I think the study had more than one intention,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
2,8,9,7,6,9,9,9,9,7,7,9,8,4,8,7,9,9,6,8,8,9,6,5,4,1,1,1,2,1,24,People's perceptions of HPV and vaccines.,Control,Get vaccinated against HPV today.
31,9,7,6,7,8,10,7,5,4,6,7,7,5,7,5,6,5,5,6,8,6,1,7,4,2,2,,1,,23,Understanding attitude towards HPV vaccine and correlations with values,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
4,8,8,5,5,6,9,8,8,6,9,10,7,4,6,6,7,6,8,8,7,5,4,9,6,3,3,,1,,24,cheers,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
51,8,7,8,8,7,7,7,8,8,8,8,8,7,8,8,7,8,8,7,9,7,7,8,7,1,1,2,6,1,21,HPV Vaccine Study,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
18,1,8,8,1,8,1,10,9,1,7,7,6,1,8,8,9,9,6,6,8,4,2,9,2,2,2,,1,,26,not sure,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
1,8,7,8,7,8,9,9,8,8,7,9,8,8,9,8,9,8,8,7,8,6,7,9,7,1,1,1,6,1,24,Vaccine hesitancy,Both,Protect yourself and your partner. Get vaccinated against HPV today.
30,4,8,9,1,9,8,10,2,10,7,4,8,1,8,8,7,10,1,7,6,9,1,5,1,1,1,1,1,,22,"Gathering data on people's opinions about HPV, HPV vaccines, and vaccines in general.",Control,Get vaccinated against HPV today.
50,2,8,9,2,9,9,8,8,7,7,7,8,4,7,7,7,7,4,7,7,7,4,5,4,1,1,1,2,1,24,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
5,4,7,8,2,10,9,9,7,8,7,9,10,2,8,6,10,9,4,9,8,10,4,7,2,1,2,1,1,,24,I think this study was about how people view HPV and the vaccine that can help with it. ,Control,Get vaccinated against HPV today.
83,4,8,7,7,8,8,7,8,8,8,9,8,5,8,8,8,7,6,8,7,8,6,5,7,1,1,2,3,,20,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
56,7,6,6,4,8,8,8,8,7,6,9,7,7,5,6,9,8,8,5,6,5,6,7,8,1,1,2,2,1,22,Not sure ,Both,Protect yourself and your partner. Get vaccinated against HPV today.
